repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
2,121,494,-2,228,18,14440,409,41841
1,113,623,-4,115,14,2839,59,49261.09
3,96,781,-1,162,18,1001,172,48780.49
5,37,283,-4,257,11,1258,414,49751.24
1,102,833,-3,259,8,6502,48,46296.3
1,42,262,-1,216,11,2643,406,50000
7,76,448,-4,184,10,11058,400,44843.05
1,37,667,-5,290,7,9891,142,49751.24
1,45,666,-4,245,8,6815,174,45662.1
5,63,528,-2,185,20,952,181,47169.81
2,69,811,-1,158,8,1943,352,49261.09
8,83,520,-3,162,5,7216,93,45454.55
3,84,1017,-3,120,5,12440,321,49019.61
9,128,442,-4,137,18,7172,364,46948.36
1,63,404,-5,143,20,3597,255,50000
10,128,926,-4,111,14,13287,408,50251.26
5,82,443,-2,276,5,333,352,50505.05
8,72,904,-2,101,12,13174,77,48780.49
2,76,543,-5,205,16,9605,86,50251.26
2,106,455,-5,139,6,964,375,49261.09
4,127,475,-5,246,8,12373,224,30864.2
10,90,283,-4,246,8,2204,326,48543.69
3,118,849,-2,250,10,12031,276,49504.95
9,56,282,-1,299,19,9979,319,46296.3
6,67,822,-5,268,15,1616,187,45045.04
6,62,961,-1,159,15,14331,459,46728.97
7,70,633,-3,199,17,728,493,46511.63
2,118,714,-4,142,15,3551,115,49019.61
9,99,527,-4,286,15,7943,233,47169.81
5,83,944,-3,270,10,13481,246,47846.89
2,75,830,-1,157,8,2550,346,45045.04
1,33,670,-5,197,5,9392,241,44247.79
2,128,477,-4,245,14,12159,2,43668.12
9,62,477,-1,290,17,9798,437,47846.89
1,56,525,-2,257,13,9829,90,45045.04
2,114,689,-5,291,14,3927,219,45248.87
7,39,628,-4,131,9,12118,92,45248.87
4,41,723,-1,258,7,3137,202,46511.63
8,94,294,-5,257,8,15,484,47169.81
10,88,637,-4,228,7,8811,162,49504.95
2,45,837,-3,158,13,7243,480,45871.56
4,112,624,-5,294,5,4437,173,48543.69
4,98,838,-4,254,20,4932,472,49751.24
6,116,840,-4,278,12,5138,488,49261.09
9,119,665,-1,246,8,7245,277,50505.05
2,91,434,-1,111,12,13027,152,49751.24
2,54,302,-2,242,13,6242,225,46511.63
6,115,410,-3,277,12,10246,226,44642.86
1,50,909,-4,157,20,11046,317,45454.55
7,54,475,-3,186,13,5714,246,44843.05
1,122,729,-3,111,19,9558,299,33557.05
1,71,390,-4,165,5,12094,500,50505.05
7,122,771,-3,209,19,102,200,50251.26
6,69,509,-1,244,13,741,189,48309.18
2,109,684,-3,185,10,14895,444,48309.18
4,119,840,-5,213,18,6163,246,49019.61
10,45,339,-3,217,20,11776,402,49261.09
1,124,535,-5,218,18,4261,239,49019.61
9,52,741,-4,151,15,5066,123,49019.61
1,36,564,-5,247,5,5789,231,48309.18
5,88,508,-2,197,15,609,157,49019.61
9,94,877,-3,254,9,5571,307,46082.95
7,83,817,-3,170,13,2665,266,47393.37
3,120,282,-4,136,6,5021,458,47619.05
9,83,590,-4,216,20,7452,410,40485.83
4,125,305,-3,287,19,13465,359,39062.5
10,101,326,-3,175,6,4935,316,39525.69
7,56,832,-4,249,6,2340,377,48309.18
6,48,306,-2,217,9,3045,393,40485.83
8,84,606,-2,290,8,5456,488,49019.61
4,63,400,-1,185,18,9895,274,45248.87
10,106,853,-1,114,9,2508,25,38461.54
10,64,791,-1,205,7,11299,257,38314.18
7,69,810,-3,242,6,4667,23,39525.69
6,54,633,-4,300,12,13969,139,47393.37
2,97,429,-2,176,15,7260,22,48076.92
2,38,522,-3,129,10,12367,448,44843.05
1,41,873,-5,240,6,14700,298,49751.24
8,51,481,-2,195,6,5474,321,46511.63
7,92,866,-5,239,16,14475,313,49504.95
4,57,303,-4,258,20,9269,398,50000
4,65,478,-4,116,10,8711,208,50251.26
7,36,449,-2,268,17,377,456,48780.49
9,68,266,-2,154,9,9306,35,49751.24
7,86,374,-1,140,10,7501,350,50251.26
7,105,612,-5,279,5,4381,283,45662.1
6,70,796,-4,168,14,11502,100,48309.18
8,87,582,-3,172,8,518,151,49261.09
3,90,930,-2,284,17,7382,65,29411.76
5,61,421,-3,293,20,2987,47,46948.36
2,70,448,-1,149,8,5362,151,36231.89
10,120,343,-3,140,18,9502,286,47393.37
3,68,578,-4,136,15,14905,313,41666.67
9,117,691,-1,110,10,2482,373,48780.49
8,69,969,-4,284,16,5609,200,48780.49
10,40,646,-3,196,11,11552,457,49504.95
5,123,638,-1,297,16,12350,391,48780.49
1,58,871,-1,257,17,136,190,49751.24
8,120,592,-3,168,14,14730,109,49504.95
5,91,346,-1,241,17,10516,328,40000
9,111,531,-1,119,12,580,290,48543.69
9,71,904,-3,262,5,4459,98,46082.95
6,71,765,-5,204,15,10873,345,49504.95
6,106,903,-1,245,14,12681,308,49019.61
8,101,286,-2,166,15,5127,64,49019.61
4,100,763,-1,148,12,9454,395,48543.69
3,85,901,-5,288,20,5839,487,49261.09
2,86,730,-2,157,18,110,129,40650.41
6,112,822,-3,136,19,9561,147,31847.13
3,103,746,-5,194,6,8483,107,38022.81
2,38,712,-2,272,16,4829,146,40485.83
6,35,710,-3,164,17,978,226,38759.69
6,127,395,-4,259,20,5790,28,38910.51
10,52,843,-2,276,17,6283,108,35211.27
3,109,331,-3,166,5,13634,427,43478.26
5,61,287,-3,276,13,9591,365,37735.85
10,99,733,-1,237,11,8512,478,42553.19
6,92,397,-2,269,16,11505,209,38167.94
6,65,878,-2,283,19,9047,154,40983.61
9,85,294,-5,256,9,2393,58,48780.49
9,52,487,-3,163,15,10490,234,47846.89
3,96,955,-5,133,6,9681,234,37313.43
6,32,264,-5,250,20,13228,137,30395.14
9,127,341,-1,300,8,11713,381,39370.08
4,96,599,-1,167,9,5284,83,34364.26
7,51,262,-2,157,19,9996,130,47169.81
7,92,812,-1,225,6,3892,59,41152.26
2,90,913,-1,209,11,14479,419,40983.61
7,41,505,-2,262,14,160,289,47619.05
5,72,531,-3,255,11,5722,142,47169.81
3,95,798,-3,135,12,7548,267,48076.92
4,117,387,-1,161,20,1903,440,48309.18
8,76,965,-2,114,17,1466,57,49261.09
6,92,761,-1,291,9,3368,399,47619.05
3,51,531,-2,300,13,5630,76,46296.3
9,39,437,-1,293,16,8262,457,44247.79
10,76,849,-2,260,11,3110,395,50761.42
10,89,259,-5,247,8,2698,221,46511.63
7,124,771,-3,228,6,7903,392,38610.04
1,62,686,-3,143,5,5956,410,48780.49
4,70,562,-3,289,6,3191,445,36630.04
4,36,468,-5,143,15,8388,225,48780.49
10,101,662,-4,208,8,1950,134,41322.31
3,97,843,-5,120,19,4045,5,43290.04
10,84,343,-4,109,8,9730,296,48309.18
1,96,533,-3,187,7,9465,333,37313.43
5,107,857,-5,289,19,14615,125,42016.8
5,107,808,-2,113,17,7166,435,48780.49
2,115,694,-5,239,15,8024,299,47619.05
2,105,826,-1,137,10,3463,143,46728.97
9,115,285,-2,123,20,3034,342,47169.81
3,126,706,-5,194,12,3327,475,49019.61
7,53,951,-2,293,12,9756,125,49261.09
8,83,339,-3,179,12,485,476,46296.3
4,80,296,-5,271,20,10654,38,49751.24
5,109,590,-4,249,15,6401,432,43290.04
4,72,809,-2,187,15,4095,467,42735.04
10,116,442,-5,237,9,923,461,44444.45
1,49,281,-5,166,20,843,276,47619.05
2,124,1008,-4,249,15,2522,50,40322.58
6,61,616,-3,127,11,2049,324,47393.37
3,110,355,-2,181,6,259,392,49261.09
2,47,259,-1,194,11,2568,454,42735.04
1,116,941,-3,250,17,2953,192,43859.65
6,101,318,-2,241,10,10922,315,43290.04
5,119,595,-2,177,8,6124,283,44642.86
4,103,383,-4,109,15,2285,389,44052.86
3,68,353,-5,147,15,10585,192,45871.56
9,90,802,-2,100,17,9709,289,48780.49
2,118,970,-2,125,13,11633,338,47619.05
9,50,727,-5,137,15,7592,232,45248.87
4,112,426,-1,266,12,3792,355,41841
6,121,1024,-2,200,10,6215,224,49019.61
8,67,437,-4,280,5,967,260,47393.37
8,98,293,-5,277,17,3684,486,49019.61
3,61,470,-3,166,11,9967,402,48543.69
10,91,361,-2,218,13,9152,214,47846.89
8,127,615,-1,219,8,96,208,47619.05
8,104,598,-2,154,11,11987,365,45454.55
7,39,812,-3,250,16,13649,268,46082.95
3,122,373,-3,114,10,8091,263,47169.81
5,77,867,-1,297,10,202,138,47169.81
6,56,443,-5,272,12,569,296,39525.69
3,112,810,-2,155,5,9689,380,36630.04
10,104,963,-4,238,7,11350,89,43859.65
1,73,450,-5,250,6,3247,344,32786.88
10,68,848,-2,203,13,10897,39,39062.5
4,72,431,-2,269,9,8887,249,37453.18
8,72,353,-3,256,10,8930,91,41152.26
6,103,780,-1,287,16,14896,195,44444.45
9,59,449,-3,190,7,14013,453,44843.05
7,90,273,-1,110,6,8650,28,49261.09
1,53,540,-1,233,10,10262,248,45045.04
3,71,889,-3,128,5,4956,117,45454.55
6,119,840,-3,199,10,12322,201,45662.1
7,67,698,-4,187,9,13858,24,48543.69
9,77,316,-5,191,14,12496,89,39525.69
3,121,373,-2,233,7,4741,183,38910.51
8,86,1014,-3,182,18,12174,240,40160.64
8,71,854,-4,111,12,11080,268,34965.04
7,91,637,-2,123,10,2502,398,41152.26
4,59,348,-5,172,5,3808,211,40000
4,65,837,-1,119,9,5061,199,26455.03
5,62,923,-1,145,19,11772,36,40983.61
5,124,1011,-3,262,14,5775,289,46511.63
6,99,822,-1,165,11,13489,153,48309.18
1,68,436,-1,272,13,1847,21,47846.89
5,117,287,-2,218,18,7127,424,49504.95
9,107,620,-4,140,17,11956,201,48309.18
9,94,323,-4,112,8,9136,255,48309.18
5,104,914,-4,206,13,10131,145,37174.72
4,35,992,-2,282,19,9819,326,38759.69
7,88,677,-4,159,11,11693,426,38759.69
3,35,904,-3,209,14,7814,31,37174.72
3,123,311,-4,282,20,8291,178,32467.53
1,39,856,-4,207,8,12313,146,40816.32
4,125,914,-1,119,16,10906,31,37593.98
1,41,865,-3,217,15,13677,23,37593.98
7,70,399,-4,157,11,12452,245,37593.98
8,99,634,-1,228,7,1921,114,38022.81
6,93,304,-4,286,17,427,191,45871.56
1,110,837,-2,292,6,11839,363,32362.46
