C,kernel,decision_function_shape,gamma,loss
4.68234,1.455217,0.584958,9.533498,99.375
5.040787,1.96449,1.375896,19.0484,99.375
5.56064,1.654382,0.699738,12.530564,99.375
5.7943,1.890523,0.837709,15.743062,99.375
9.448665,1.032252,0.776539,8.303217,99.375
11.017036,1.182357,1.503541,0.835423,99.375
12.195632,1.429374,0.338192,13.613565,99.375
13.075089,1.767715,0.457299,6.638097,99.375
18.205097,1.203711,1.706717,4.823747,99.375
18.541933,1.707841,0.721374,3.705572,99.375
18.976201,1.291275,1.942002,15.578231,99.375
19.361866,1.073636,0.483178,13.37162,99.375
