max_depth,n_estimators,subsample,learning_rate,min_child_weight,loss
77,395,0.230287,0.066724,13.936641,0.2875
95,299,0.825357,0.916809,19.279216,0.2875
54,848,0.801212,0.243861,17.855982,0.29375
62,210,0.356746,0.305531,4.915183,0.29375
71,198,0.594588,0.627455,5.317648,0.29375
83,659,0.686135,0.726123,9.995229,0.29375
53,855,0.815937,0.244632,17.867595,0.29375
23,295,0.786401,0.20255,14.900682,0.29375
37,944,0.902514,0.689378,13.416505,0.29375
95,297,0.824633,0.903892,19.611446,0.29375
16,984,0.746697,0.92368,15.509858,0.29375
30,114,0.866061,0.965057,14.626336,0.29375
42,255,0.515492,0.461446,3.681256,0.29375
56,684,0.880671,0.021143,19.119473,0.29375
62,208,0.358152,0.316922,4.987648,0.29375
72,201,0.587818,0.621578,5.515106,0.29375
82,373,0.954689,0.2996,6.073745,0.29375
6,334,0.664323,0.995493,9.165159,0.3
19,942,0.396713,0.335313,17.08201,0.3
22,280,0.782268,0.203499,14.807499,0.3
46,433,0.362261,0.521656,3.292489,0.3
79,714,0.760535,0.802056,13.908564,0.3
87,138,0.858623,0.838664,16.312308,0.3
89,344,0.29946,0.406627,11.810546,0.3
96,767,0.731198,0.892757,9.499872,0.3
6,332,0.667112,0.990631,8.98086,0.3
22,284,0.78874,0.209855,14.838559,0.3
61,628,0.622804,0.767396,7.059282,0.3
63,207,0.344976,0.307014,4.953384,0.3
12,412,0.615778,0.375809,2.726961,0.3
14,179,0.326111,0.274133,7.681497,0.3
55,359,0.552861,0.140002,1.16397,0.3
57,690,0.892872,0.032641,19.177631,0.3
66,919,0.643739,0.433701,16.742553,0.3
69,880,0.569653,0.494357,10.577971,0.3
80,710,0.761377,0.814562,13.827678,0.3
93,644,0.997657,0.14454,12.738485,0.3
14,172,0.329852,0.277268,7.64139,0.3
21,77,0.52476,0.658678,17.343887,0.3
47,51,0.275275,0.239864,1.816863,0.3
92,270,0.9327,0.70298,12.947179,0.3
38,944,0.906662,0.694627,13.229708,0.30625
57,693,0.896963,0.025835,18.922236,0.30625
58,456,0.070615,0.392403,16.028733,0.30625
60,629,0.630184,0.762815,6.778085,0.30625
93,640,0.982672,0.151101,12.655288,0.30625
18,937,0.383667,0.335966,17.28624,0.30625
26,585,0.154337,0.173695,12.177233,0.30625
34,749,0.311149,0.950172,4.501614,0.30625
46,444,0.368097,0.524149,3.321864,0.30625
76,400,0.239907,0.062426,14.121034,0.30625
95,304,0.832374,0.915775,19.588253,0.30625
9,605,0.452688,0.674069,18.599897,0.30625
54,850,0.809966,0.254125,18.096201,0.30625
62,208,0.356431,0.311901,4.968059,0.30625
88,144,0.849533,0.832575,16.501917,0.30625
97,755,0.734121,0.885948,9.411046,0.30625
12,577,0.185999,0.551674,10.226134,0.30625
19,931,0.383792,0.339766,17.122824,0.30625
39,955,0.907627,0.693605,13.505753,0.30625
45,438,0.372351,0.532022,3.560185,0.30625
61,624,0.632183,0.761943,6.804824,0.30625
79,700,0.770814,0.809163,13.611754,0.30625
84,513,0.251212,0.042594,7.892324,0.30625
87,135,0.847895,0.826569,16.369861,0.30625
9,613,0.450693,0.675297,18.717374,0.3125
27,595,0.142077,0.163218,12.191812,0.3125
81,378,0.955932,0.28982,6.281072,0.3125
85,513,0.245459,0.046276,8.005829,0.3125
91,276,0.934712,0.708778,12.96444,0.3125
10,611,0.450807,0.67577,18.732191,0.3125
37,953,0.911459,0.699717,13.259079,0.3125
42,246,0.508628,0.466086,4.026692,0.3125
47,56,0.269087,0.233943,2.101153,0.3125
84,668,0.697772,0.738131,10.119043,0.3125
88,341,0.289902,0.420065,11.757091,0.3125
31,109,0.872492,0.972434,14.631075,0.3125
81,389,0.947891,0.298242,6.309933,0.3125
10,606,0.4588,0.676254,18.742247,0.3125
89,336,0.2945,0.414173,11.711899,0.3125
96,764,0.727176,0.885689,9.662252,0.3125
29,122,0.877918,0.96505,14.3736,0.31875
94,298,0.825008,0.912216,19.293567,0.31875
69,880,0.574185,0.482674,10.591652,0.31875
92,650,0.991826,0.142073,12.59496,0.31875
41,249,0.514889,0.475642,3.737646,0.31875
46,433,0.36945,0.521577,3.550787,0.31875
78,804,0.082807,0.575178,19.802424,0.31875
90,263,0.92317,0.719448,13.045095,0.31875
28,505,0.421394,0.850124,10.933188,0.31875
36,477,0.211973,0.19329,1.586945,0.31875
73,226,0.968132,0.445114,18.458699,0.31875
84,671,0.68102,0.728821,9.747114,0.31875
28,491,0.43036,0.859907,11.019562,0.325
21,79,0.526312,0.654587,17.505159,0.325
88,143,0.841753,0.839378,16.352899,0.325
27,582,0.159291,0.168657,12.324174,0.325
34,742,0.316115,0.955935,4.61609,0.325
60,635,0.637626,0.770272,6.831114,0.325
85,511,0.260739,0.059713,8.086337,0.325
25,157,0.481139,0.600035,5.878088,0.325
27,589,0.152801,0.165035,12.089457,0.325
49,835,0.709238,0.790281,11.442834,0.325
58,465,0.078369,0.383756,15.947435,0.325
17,986,0.754872,0.929925,15.666283,0.33125
21,78,0.535361,0.645536,17.459203,0.33125
66,908,0.648419,0.431752,16.670127,0.33125
85,511,0.255238,0.041563,8.057466,0.33125
6,320,0.670998,0.98448,9.044432,0.33125
5,321,0.673086,0.986518,9.344706,0.33125
66,910,0.652944,0.420715,16.763598,0.33125
14,180,0.331777,0.272126,7.631907,0.3375
77,799,0.088618,0.574093,19.749386,0.3375
11,564,0.188102,0.556012,10.188887,0.3375
17,988,0.7584,0.937327,15.602432,0.3375
60,450,0.065334,0.387754,15.962237,0.3375
17,990,0.748114,0.928123,15.473188,0.3375
19,932,0.392523,0.338458,17.023722,0.3375
21,78,0.52271,0.641557,17.626056,0.3375
90,336,0.290611,0.404718,11.868497,0.3375
50,527,0.11922,0.355394,7.179742,0.3375
71,884,0.564646,0.484207,10.776032,0.34375
50,845,0.70978,0.7814,11.385477,0.34375
92,271,0.920402,0.712589,12.876809,0.34375
69,874,0.574621,0.48065,10.631917,0.34375
28,488,0.42958,0.85341,10.977202,0.35
40,555,0.134604,0.741649,8.606555,0.35
59,463,0.06586,0.387023,16.162159,0.35
83,671,0.689777,0.73327,9.894248,0.35
32,774,0.054267,0.601875,2.351872,0.35
34,745,0.311153,0.949996,4.553652,0.35
30,108,0.863759,0.97712,14.415439,0.35625
65,92,0.027603,0.513858,8.518005,0.35625
65,89,0.02617,0.51476,8.274302,0.35625
7,812,0.174465,0.877775,15.167945,0.3625
11,579,0.198114,0.551343,10.361289,0.3625
65,90,0.029835,0.511512,8.233477,0.3625
51,532,0.109736,0.34488,7.345825,0.3625
78,808,0.083532,0.573759,19.71607,0.3625
34,740,0.303501,0.955454,4.766321,0.36875
15,178,0.326879,0.277559,7.552048,0.36875
51,527,0.112037,0.351988,7.127478,0.375
28,497,0.436684,0.843138,11.02963,0.375
40,549,0.122503,0.756966,8.866286,0.38125
8,819,0.16137,0.868533,15.217076,0.38125
78,804,0.099733,0.563612,19.704844,0.38125
32,772,0.057886,0.610631,2.455066,0.3875
7,828,0.170662,0.879008,15.267347,0.3875
50,538,0.118096,0.348558,7.394874,0.3875
11,572,0.193153,0.547434,10.157098,0.4
40,555,0.13575,0.7599,8.639659,0.40625
8,812,0.170853,0.864739,15.250194,0.40625
63,95,0.038704,0.512001,8.231468,0.4125
40,550,0.136899,0.757717,8.601433,0.425
32,787,0.056709,0.607356,2.249622,0.43125
99,963,0.012273,0.116801,6.571624,0.475
32,773,0.05018,0.605665,2.33137,0.48125
99,973,0.011335,0.103787,6.618942,0.48125
99,973,0.011038,0.10489,6.640389,0.55
98,968,0.005661,0.102365,6.61599,0.56875
